log2Enrich	feature	primary_diagnosis	cohort
166	1.227	TTS	breast	Cancer
167	1.097	3UTR	breast	Cancer
168	-1.08	Intergenic	breast	Cancer
169	1.122	SINE	breast	Cancer
170	-1.744	LINE	breast	Cancer
171	1.031	CpG-Island	breast	Cancer
172	1.368	Promoter	breast	Cancer
173	1.142	5UTR	breast	Cancer
174	1.689	Exon	breast	Cancer
175	0.564	Intron	breast	Cancer
176	1.001	TTS	breast	Cancer
177	0.822	3UTR	breast	Cancer
178	-0.842	Intergenic	breast	Cancer
179	0.995	SINE	breast	Cancer
180	-1.454	LINE	breast	Cancer
181	1.109	CpG-Island	breast	Cancer
182	1.502	Promoter	breast	Cancer
183	1.125	5UTR	breast	Cancer
184	1.707	Exon	breast	Cancer
185	0.558	Intron	breast	Cancer
186	1.045	TTS	breast	Cancer
187	0.933	3UTR	breast	Cancer
188	-0.837	Intergenic	breast	Cancer
189	0.931	SINE	breast	Cancer
190	-1.354	LINE	breast	Cancer
191	1.814	CpG-Island	breast	Cancer
192	1.89	Promoter	breast	Cancer
193	1.53	5UTR	breast	Cancer
194	2.188	Exon	breast	Cancer
195	0.629	Intron	breast	Cancer
196	1.42	TTS	breast	Cancer
197	1.192	3UTR	breast	Cancer
198	-0.875	Intergenic	breast	Cancer
199	0.888	SINE	breast	Cancer
200	-1.919	LINE	breast	Cancer
201	1.764	CpG-Island	breast	Cancer
202	2.042	Promoter	breast	Cancer
203	1.594	5UTR	breast	Cancer
204	2.065	Exon	breast	Cancer
205	0.439	Intron	breast	Cancer
206	1.39	TTS	breast	Cancer
207	1.171	3UTR	breast	Cancer
208	-1.497	Intergenic	breast	Cancer
209	1.297	SINE	breast	Cancer
210	-1.757	LINE	breast	Cancer
211	1.716	CpG-Island	breast	Cancer
212	1.63	Promoter	breast	Cancer
213	1.132	5UTR	breast	Cancer
214	1.75	Exon	breast	Cancer
215	0.524	Intron	breast	Cancer
216	1.112	TTS	breast	Cancer
217	0.912	3UTR	breast	Cancer
218	-0.887	Intergenic	breast	Cancer
219	1.017	SINE	breast	Cancer
220	-1.475	LINE	breast	Cancer
