log2Enrich	feature	primary_diagnosis	cohort
728	-1.328	Intergenic	lung	Cancer
729	1.375	SINE	lung	Cancer
730	-1.749	LINE	lung	Cancer
731	1.361	CpG-Island	pancreas	Cancer
732	1.662	Promoter	pancreas	Cancer
733	1.127	5UTR	pancreas	Cancer
734	1.753	Exon	pancreas	Cancer
735	0.463	Intron	pancreas	Cancer
736	1.152	TTS	pancreas	Cancer
737	0.923	3UTR	pancreas	Cancer
738	-1.236	Intergenic	pancreas	Cancer
739	1.345	SINE	pancreas	Cancer
740	-1.831	LINE	pancreas	Cancer
741	1.438	CpG-Island	pancreas	Cancer
742	1.675	Promoter	pancreas	Cancer
743	1.232	5UTR	pancreas	Cancer
744	1.928	Exon	pancreas	Cancer
745	0.569	Intron	pancreas	Cancer
746	1.297	TTS	pancreas	Cancer
747	1.11	3UTR	pancreas	Cancer
748	-1.396	Intergenic	pancreas	Cancer
749	1.236	SINE	pancreas	Cancer
750	-1.78	LINE	pancreas	Cancer
751	1.198	CpG-Island	pancreas	Cancer
752	1.31	Promoter	pancreas	Cancer
753	1.074	5UTR	pancreas	Cancer
754	1.56	Exon	pancreas	Cancer
755	0.67	Intron	pancreas	Cancer
756	0.854	TTS	pancreas	Cancer
757	0.794	3UTR	pancreas	Cancer
758	-0.984	Intergenic	pancreas	Cancer
759	0.954	SINE	pancreas	Cancer
760	-1.302	LINE	pancreas	Cancer
761	1.127	CpG-Island	pancreas	Cancer
762	1.458	Promoter	pancreas	Cancer
763	1.062	5UTR	pancreas	Cancer
764	1.796	Exon	pancreas	Cancer
765	0.432	Intron	pancreas	Cancer
766	1.084	TTS	pancreas	Cancer
767	0.971	3UTR	pancreas	Cancer
768	-1.026	Intergenic	pancreas	Cancer
769	1.242	SINE	pancreas	Cancer
770	-1.654	LINE	pancreas	Cancer
771	-0.146	CpG-Island	pancreas	Cancer
772	1.165	Promoter	pancreas	Cancer
773	1.028	5UTR	pancreas	Cancer
774	1.471	Exon	pancreas	Cancer
775	0.378	Intron	pancreas	Cancer
776	0.842	TTS	pancreas	Cancer
777	0.885	3UTR	pancreas	Cancer
778	-1.573	Intergenic	pancreas	Cancer
779	1.493	SINE	pancreas	Cancer
780	-1.378	LINE	pancreas	Cancer
781	1.531	CpG-Island	lung	Control
782	1.698	Promoter	lung	Control
783	1.228	5UTR	lung	Control
784	1.938	Exon	lung	Control
785	0.369	Intron	lung	Control
786	1.296	TTS	lung	Control
787	1.042	3UTR	lung	Control
788	-1.512	Intergenic	lung	Control
789	1.524	SINE	lung	Control
790	-2.011	LINE	lung	Control
791	1.205	CpG-Island	lung	Control
792	1.485	Promoter	lung	Control
793	1.163	5UTR	lung	Control
794	1.888	Exon	lung	Control
795	0.431	Intron	lung	Control
796	1.174	TTS	lung	Control
797	1.034	3UTR	lung	Control
798	-1.401	Intergenic	lung	Control
799	1.411	SINE	lung	Control
800	-1.757	LINE	lung	Control
801	1.139	CpG-Island	colon	Control
802	1.502	Promoter	colon	Control
803	1.028	5UTR	colon	Control
804	1.7	Exon	colon	Control
805	0.278	Intron	colon	Control
806	1.179	TTS	colon	Control
807	0.86	3UTR	colon	Control
808	-1.455	Intergenic	colon	Control
809	1.576	SINE	colon	Control
810	-1.77	LINE	colon	Control
811	0.898	CpG-Island	colon	Control
812	1.298	Promoter	colon	Control
813	0.86	5UTR	colon	Control
814	1.39	Exon	colon	Control
815	0.253	Intron	colon	Control
816	1.031	TTS	colon	Control
817	0.702	3UTR	colon	Control
818	-1.39	Intergenic	colon	Control
819	1.545	SINE	colon	Control
820	-1.529	LINE	colon	Control
821	1.493	CpG-Island	pancreas	Control
822	1.58	Promoter	pancreas	Control
823	1.163	5UTR	pancreas	Control
824	1.868	Exon	pancreas	Control
825	0.541	Intron	pancreas	Control
826	1.233	TTS	pancreas	Control
827	1.081	3UTR	pancreas	Control
828	-1.255	Intergenic	pancreas	Control
829	1.214	SINE	pancreas	Control
830	-1.712	LINE	pancreas	Control
831	1.352	CpG-Island	lung	Control
832	1.651	Promoter	lung	Control
833	1.239	5UTR	lung	Control
834	1.958	Exon	lung	Control
835	0.463	Intron	lung	Control
836	1.313	TTS	lung	Control
837	1.131	3UTR	lung	Control
838	-1.399	Intergenic	lung	Control
839	1.402	SINE	lung	Control
840	-1.976	LINE	lung	Control
841	1.465	CpG-Island	colon	Control
842	1.662	Promoter	colon	Control
843	1.152	5UTR	colon	Control
844	2.006	Exon	colon	Control
845	0.443	Intron	colon	Control
846	1.364	TTS	colon	Control
847	1.131	3UTR	colon	Control
848	-1.382	Intergenic	colon	Control
849	1.397	SINE	colon	Control
850	-1.968	LINE	colon	Control
851	1.437	CpG-Island	lung	Control
852	1.656	Promoter	lung	Control
853	1.129	5UTR	lung	Control
854	2.011	Exon	lung	Control
855	0.428	Intron	lung	Control
856	1.327	TTS	lung	Control
857	1.128	3UTR	lung	Control
858	-1.518	Intergenic	lung	Control
859	1.433	SINE	lung	Control
860	-1.909	LINE	lung	Control
861	1.368	CpG-Island	colon	Control
862	1.642	Promoter	colon	Control
863	1.055	5UTR	colon	Control
864	1.79	Exon	colon	Control
865	0.355	Intron	colon	Control
866	1.186	TTS	colon	Control
867	0.968	3UTR	colon	Control
868	-1.348	Intergenic	colon	Control
869	1.5	SINE	colon	Control
870	-1.965	LINE	colon	Control
871	1.034	CpG-Island	colon	Control
872	1.373	Promoter	colon	Control
873	0.996	5UTR	colon	Control
874	1.67	Exon	colon	Control
875	0.315	Intron	colon	Control
876	1.142	TTS	colon	Control
877	0.899	3UTR	colon	Control
878	-1.353	Intergenic	colon	Control
879	1.516	SINE	colon	Control
880	-1.703	LINE	colon	Control
881	1.023	CpG-Island	pancreas	Control
882	1.3	Promoter	pancreas	Control
883	0.952	5UTR	pancreas	Control
884	1.783	Exon	pancreas	Control
885	0.53	Intron	pancreas	Control
886	1.081	TTS	pancreas	Control
887	1.02	3UTR	pancreas	Control
888	-1.233	Intergenic	pancreas	Control
889	1.187	SINE	pancreas	Control
890	-1.463	LINE	pancreas	Control
891	1.595	CpG-Island	pancreas	Control
892	1.576	Promoter	pancreas	Control
893	1.154	5UTR	pancreas	Control
894	2.028	Exon	pancreas	Control
895	0.571	Intron	pancreas	Control
896	1.321	TTS	pancreas	Control
897	1.169	3UTR	pancreas	Control
898	-1.521	Intergenic	pancreas	Control
899	1.288	SINE	pancreas	Control
900	-1.889	LINE	pancreas	Control
901	-0.062	CpG-Island	lung	Control
902	1.116	Promoter	lung	Control
903	0.903	5UTR	lung	Control
904	1.289	Exon	lung	Control
905	0.436	Intron	lung	Control
906	0.837	TTS	lung	Control
907	0.844	3UTR	lung	Control
908	-1.513	Intergenic	lung	Control
909	1.509	SINE	lung	Control
910	-1.515	LINE	lung	Control
911	0.699	CpG-Island	pancreas	Control
912	1.193	Promoter	pancreas	Control
913	1.033	5UTR	pancreas	Control
914	1.644	Exon	pancreas	Control
915	0.58	Intron	pancreas	Control
916	1.034	TTS	pancreas	Control
917	0.986	3UTR	pancreas	Control
918	-1.384	Intergenic	pancreas	Control
919	1.216	SINE	pancreas	Control
920	-1.41	LINE	pancreas	Control
921	1.686	CpG-Island	breast	Control
922	1.531	Promoter	breast	Control
923	1.323	5UTR	breast	Control
924	2.281	Exon	breast	Control
925	0.549	Intron	breast	Control
926	1.518	TTS	breast	Control
927	1.359	3UTR	breast	Control
928	-1.336	Intergenic	breast	Control
929	1.228	SINE	breast	Control
930	-2.04	LINE	breast	Control
931	1.522	CpG-Island	breast	Control
932	1.608	Promoter	breast	Control
933	1.159	5UTR	breast	Control
934	2.095	Exon	breast	Control
935	0.665	Intron	breast	Control
936	1.397	TTS	breast	Control
937	1.207	3UTR	breast	Control
938	-0.952	Intergenic	breast	Control
939	0.973	SINE	breast	Control
940	-2.038	LINE	breast	Control
941	2.228	CpG-Island	breast	Control
942	1.84	Promoter	breast	Control
943	1.35	5UTR	breast	Control
944	2.488	Exon	breast	Control
945	0.514	Intron	breast	Control
946	1.626	TTS	breast	Control
947	1.426	3UTR	breast	Control
948	-1.385	Intergenic	breast	Control
949	1.237	SINE	breast	Control
950	-2.401	LINE	breast	Control
951	1.604	CpG-Island	breast	Control
952	1.364	Promoter	breast	Control
953	1.078	5UTR	breast	Control
954	2.176	Exon	breast	Control
955	0.437	Intron	breast	Control
956	1.265	TTS	breast	Control
957	1.142	3UTR	breast	Control
958	-1.08	Intergenic	breast	Control
959	1.368	SINE	breast	Control
960	-2.281	LINE	breast	Control
961	1.958	CpG-Island	breast	Control
962	1.645	Promoter	breast	Control
963	1.237	5UTR	breast	Control
964	2.427	Exon	breast	Control
965	0.583	Intron	breast	Control
966	1.545	TTS	breast	Control
967	1.405	3UTR	breast	Control
968	-1.138	Intergenic	breast	Control
969	1.11	SINE	breast	Control
970	-2.302	LINE	breast	Control
971	1.417	CpG-Island	pancreas	Control
972	1.571	Promoter	pancreas	Control
973	1.133	5UTR	pancreas	Control
974	1.907	Exon	pancreas	Control
975	0.571	Intron	pancreas	Control
976	1.239	TTS	pancreas	Control
977	1.137	3UTR	pancreas	Control
978	-1.231	Intergenic	pancreas	Control
979	1.166	SINE	pancreas	Control
980	-1.737	LINE	pancreas	Control
981	1.338	CpG-Island	pancreas	Cancer
982	1.623	Promoter	pancreas	Cancer
983	1.272	5UTR	pancreas	Cancer
984	1.811	Exon	pancreas	Cancer
985	0.453	Intron	pancreas	Cancer
986	1.159	TTS	pancreas	Cancer
987	1.021	3UTR	pancreas	Cancer
988	-1.072	Intergenic	pancreas	Cancer
989	1.269	SINE	pancreas	Cancer
990	-1.755	LINE	pancreas	Cancer
991	1.33	CpG-Island	pancreas	Cancer
992	1.531	Promoter	pancreas	Cancer
993	1.036	5UTR	pancreas	Cancer
994	1.858	Exon	pancreas	Cancer
995	0.546	Intron	pancreas	Cancer
996	1.191	TTS	pancreas	Cancer
997	1.089	3UTR	pancreas	Cancer
998	-1.271	Intergenic	pancreas	Cancer
999	1.222	SINE	pancreas	Cancer
1000	-1.696	LINE	pancreas	Cancer
1001	1.044	CpG-Island	pancreas	Cancer
1002	1.386	Promoter	pancreas	Cancer
1003	0.999	5UTR	pancreas	Cancer
1004	1.764	Exon	pancreas	Cancer
1005	0.566	Intron	pancreas	Cancer
1006	1.117	TTS	pancreas	Cancer
1007	1.055	3UTR	pancreas	Cancer
1008	-1.198	Intergenic	pancreas	Cancer
1009	1.126	SINE	pancreas	Cancer
1010	-1.495	LINE	pancreas	Cancer
1011	-0.252	CpG-Island	pancreas	Cancer
1012	0.854	Promoter	pancreas	Cancer
1013	0.79	5UTR	pancreas	Cancer
1014	1.464	Exon	pancreas	Cancer
1015	0.79	Intron	pancreas	Cancer
1016	0.618	TTS	pancreas	Cancer
1017	0.913	3UTR	pancreas	Cancer
1018	-1.081	Intergenic	pancreas	Cancer
1019	0.72	SINE	pancreas	Cancer
1020	-0.926	LINE	pancreas	Cancer
1021	1.087	CpG-Island	pancreas	Cancer
1022	1.535	Promoter	pancreas	Cancer
1023	1.206	5UTR	pancreas	Cancer
1024	1.735	Exon	pancreas	Cancer
1025	0.412	Intron	pancreas	Cancer
1026	1.143	TTS	pancreas	Cancer
1027	1.021	3UTR	pancreas	Cancer
1028	-1.21	Intergenic	pancreas	Cancer
1029	1.314	SINE	pancreas	Cancer
1030	-1.557	LINE	pancreas	Cancer
1031	-0.243	CpG-Island	pancreas	Cancer
1032	1.118	Promoter	pancreas	Cancer
1033	0.943	5UTR	pancreas	Cancer
1034	1.344	Exon	pancreas	Cancer
1035	0.377	Intron	pancreas	Cancer
1036	0.577	TTS	pancreas	Cancer
1037	0.651	3UTR	pancreas	Cancer
1038	-1.6	Intergenic	pancreas	Cancer
1039	1.518	SINE	pancreas	Cancer
1040	-1.33	LINE	pancreas	Cancer
1041	1.233	CpG-Island	pancreas	Cancer
1042	1.556	Promoter	pancreas	Cancer
1043	1.206	5UTR	pancreas	Cancer
1044	1.748	Exon	pancreas	Cancer
1045	0.5	Intron	pancreas	Cancer
1046	1.102	TTS	pancreas	Cancer
1047	0.937	3UTR	pancreas	Cancer
1048	-1.25	Intergenic	pancreas	Cancer
1049	1.291	SINE	pancreas	Cancer
1050	-1.675	LINE	pancreas	Cancer
1051	1.057	CpG-Island	pancreas	Cancer
1052	1.378	Promoter	pancreas	Cancer
1053	1.152	5UTR	pancreas	Cancer
1054	1.641	Exon	pancreas	Cancer
1055	0.641	Intron	pancreas	Cancer
1056	0.868	TTS	pancreas	Cancer
1057	0.932	3UTR	pancreas	Cancer
1058	-0.973	Intergenic	pancreas	Cancer
1059	0.862	SINE	pancreas	Cancer
1060	-1.074	LINE	pancreas	Cancer
1061	1.302	CpG-Island	pancreas	Cancer
1062	1.604	Promoter	pancreas	Cancer
1063	1.231	5UTR	pancreas	Cancer
1064	1.808	Exon	pancreas	Cancer
1065	0.533	Intron	pancreas	Cancer
1066	1.152	TTS	pancreas	Cancer
1067	0.976	3UTR	pancreas	Cancer
1068	-1.126	Intergenic	pancreas	Cancer
1069	1.2	SINE	pancreas	Cancer
1070	-1.729	LINE	pancreas	Cancer
1071	1.393	CpG-Island	pancreas	Cancer
1072	1.625	Promoter	pancreas	Cancer
1073	1.137	5UTR	pancreas	Cancer
1074	1.859	Exon	pancreas	Cancer
1075	0.552	Intron	pancreas	Cancer
1076	1.243	TTS	pancreas	Cancer
1077	1.036	3UTR	pancreas	Cancer
1078	-1.19	Intergenic	pancreas	Cancer
1079	1.227	SINE	pancreas	Cancer
1080	-1.853	LINE	pancreas	Cancer
1081	1.65	CpG-Island	pancreas	Cancer
1082	1.722	Promoter	pancreas	Cancer
1083	1.194	5UTR	pancreas	Cancer
1084	2.062	Exon	pancreas	Cancer
1085	0.547	Intron	pancreas	Cancer
1086	1.357	TTS	pancreas	Cancer
1087	1.132	3UTR	pancreas	Cancer
1088	-1.088	Intergenic	pancreas	Cancer
1089	1.195	SINE	pancreas	Cancer
1090	-2.052	LINE	pancreas	Cancer
1091	1.127	CpG-Island	pancreas	Cancer
1092	1.444	Promoter	pancreas	Cancer
1093	1.011	5UTR	pancreas	Cancer
1094	1.74	Exon	pancreas	Cancer
1095	0.436	Intron	pancreas	Cancer
1096	1.054	TTS	pancreas	Cancer
1097	0.897	3UTR	pancreas	Cancer
1098	-0.987	Intergenic	pancreas	Cancer
1099	1.307	SINE	pancreas	Cancer
1100	-1.818	LINE	pancreas	Cancer
1101	0.957	CpG-Island	pancreas	Cancer
1102	1.306	Promoter	pancreas	Cancer
1103	0.989	5UTR	pancreas	Cancer
1104	1.74	Exon	pancreas	Cancer
1105	0.553	Intron	pancreas	Cancer
1106	1.061	TTS	pancreas	Cancer
1107	1.012	3UTR	pancreas	Cancer
1108	-1.225	Intergenic	pancreas	Cancer
1109	1.145	SINE	pancreas	Cancer
1110	-1.412	LINE	pancreas	Cancer
1111	1.007	CpG-Island	pancreas	Cancer
1112	1.34	Promoter	pancreas	Cancer
1113	1.14	5UTR	pancreas	Cancer
1114	1.756	Exon	pancreas	Cancer
1115	0.456	Intron	pancreas	Cancer
1116	1.058	TTS	pancreas	Cancer
1117	0.935	3UTR	pancreas	Cancer
1118	-1.106	Intergenic	pancreas	Cancer
1119	1.291	SINE	pancreas	Cancer
1120	-1.621	LINE	pancreas	Cancer
1121	1.862	CpG-Island	pancreas	Cancer
1122	1.765	Promoter	pancreas	Cancer
1123	1.424	5UTR	pancreas	Cancer
1124	2.263	Exon	pancreas	Cancer
1125	0.648	Intron	pancreas	Cancer
1126	1.555	TTS	pancreas	Cancer
1127	1.327	3UTR	pancreas	Cancer
1128	-1.168	Intergenic	pancreas	Cancer
1129	1.027	SINE	pancreas	Cancer
1130	-2.045	LINE	pancreas	Cancer
1131	0.834	CpG-Island	pancreas	Cancer
1132	1.263	Promoter	pancreas	Cancer
1133	0.941	5UTR	pancreas	Cancer
1134	1.327	Exon	pancreas	Cancer
1135	0.752	Intron	pancreas	Cancer
1136	0.64	TTS	pancreas	Cancer
1137	0.622	3UTR	pancreas	Cancer
1138	-0.69	Intergenic	pancreas	Cancer
1139	0.547	SINE	pancreas	Cancer
1140	-1.02	LINE	pancreas	Cancer
1141	1.486	CpG-Island	pancreas	Cancer
1142	1.733	Promoter	pancreas	Cancer
1143	1.307	5UTR	pancreas	Cancer
1144	1.948	Exon	pancreas	Cancer
1145	0.618	Intron	pancreas	Cancer
1146	1.341	TTS	pancreas	Cancer
1147	1.155	3UTR	pancreas	Cancer
1148	-1.255	Intergenic	pancreas	Cancer
1149	1.14	SINE	pancreas	Cancer
1150	-1.841	LINE	pancreas	Cancer
1151	0.845	CpG-Island	pancreas	Cancer
1152	1.317	Promoter	pancreas	Cancer
1153	0.985	5UTR	pancreas	Cancer
1154	1.491	Exon	pancreas	Cancer
1155	0.462	Intron	pancreas	Cancer
1156	0.803	TTS	pancreas	Cancer
1157	0.65	3UTR	pancreas	Cancer
1158	-0.997	Intergenic	pancreas	Cancer
1159	1.279	SINE	pancreas	Cancer
1160	-1.599	LINE	pancreas	Cancer
1161	1.376	CpG-Island	pancreas	Cancer
1162	1.627	Promoter	pancreas	Cancer
1163	1.208	5UTR	pancreas	Cancer
1164	1.921	Exon	pancreas	Cancer
1165	0.545	Intron	pancreas	Cancer
1166	1.208	TTS	pancreas	Cancer
1167	1.05	3UTR	pancreas	Cancer
1168	-1.097	Intergenic	pancreas	Cancer
1169	1.191	SINE	pancreas	Cancer
1170	-1.858	LINE	pancreas	Cancer
1171	1.279	CpG-Island	pancreas	Cancer
1172	1.412	Promoter	pancreas	Cancer
1173	1.063	5UTR	pancreas	Cancer
1174	1.841	Exon	pancreas	Cancer
1175	0.438	Intron	pancreas	Cancer
1176	1.137	TTS	pancreas	Cancer
1177	0.964	3UTR	pancreas	Cancer
1178	-1.131	Intergenic	pancreas	Cancer
1179	1.336	SINE	pancreas	Cancer
1180	-1.762	LINE	pancreas	Cancer
1181	1.023	CpG-Island	pancreas	Cancer
1182	1.452	Promoter	pancreas	Cancer
1183	0.966	5UTR	pancreas	Cancer
1184	1.699	Exon	pancreas	Cancer
1185	0.51	Intron	pancreas	Cancer
1186	0.95	TTS	pancreas	Cancer
1187	0.852	3UTR	pancreas	Cancer
1188	-1.191	Intergenic	pancreas	Cancer
1189	1.296	SINE	pancreas	Cancer
1190	-1.692	LINE	pancreas	Cancer
1191	1.084	CpG-Island	pancreas	Cancer
1192	1.408	Promoter	pancreas	Cancer
1193	0.997	5UTR	pancreas	Cancer
1194	1.553	Exon	pancreas	Cancer
1195	0.445	Intron	pancreas	Cancer
1196	1.012	TTS	pancreas	Cancer
1197	0.834	3UTR	pancreas	Cancer
1198	-0.836	Intergenic	pancreas	Cancer
1199	1.199	SINE	pancreas	Cancer
1200	-1.69	LINE	pancreas	Cancer
1201	1.268	CpG-Island	pancreas	Cancer
1202	1.478	Promoter	pancreas	Cancer
1203	1.169	5UTR	pancreas	Cancer
1204	1.838	Exon	pancreas	Cancer
1205	0.454	Intron	pancreas	Cancer
1206	1.168	TTS	pancreas	Cancer
1207	0.958	3UTR	pancreas	Cancer
1208	-1.142	Intergenic	pancreas	Cancer
1209	1.333	SINE	pancreas	Cancer
1210	-1.835	LINE	pancreas	Cancer
1211	1.176	CpG-Island	pancreas	Cancer
1212	1.269	Promoter	pancreas	Cancer
1213	1.1	5UTR	pancreas	Cancer
1214	1.726	Exon	pancreas	Cancer
1215	0.431	Intron	pancreas	Cancer
1216	1.043	TTS	pancreas	Cancer
1217	0.883	3UTR	pancreas	Cancer
1218	-0.975	Intergenic	pancreas	Cancer
1219	1.291	SINE	pancreas	Cancer
1220	-1.684	LINE	pancreas	Cancer
1221	1.548	CpG-Island	pancreas	Cancer
1222	1.543	Promoter	pancreas	Cancer
1223	1.184	5UTR	pancreas	Cancer
1224	1.869	Exon	pancreas	Cancer
1225	0.502	Intron	pancreas	Cancer
1226	1.306	TTS	pancreas	Cancer
1227	0.972	3UTR	pancreas	Cancer
1228	-1.268	Intergenic	pancreas	Cancer
1229	1.33	SINE	pancreas	Cancer
1230	-1.907	LINE	pancreas	Cancer
1231	1.426	CpG-Island	pancreas	Cancer
1232	1.795	Promoter	pancreas	Cancer
1233	1.407	5UTR	pancreas	Cancer
1234	1.856	Exon	pancreas	Cancer
1235	0.416	Intron	pancreas	Cancer
1236	1.29	TTS	pancreas	Cancer
1237	1.074	3UTR	pancreas	Cancer
1238	-1.335	Intergenic	pancreas	Cancer
1239	1.372	SINE	pancreas	Cancer
1240	-1.781	LINE	pancreas	Cancer
1241	0.784	CpG-Island	pancreas	Cancer
1242	1.387	Promoter	pancreas	Cancer
1243	1.073	5UTR	pancreas	Cancer
1244	1.604	Exon	pancreas	Cancer
1245	0.424	Intron	pancreas	Cancer
1246	0.949	TTS	pancreas	Cancer
1247	0.851	3UTR	pancreas	Cancer
1248	-0.985	Intergenic	pancreas	Cancer
1249	1.191	SINE	pancreas	Cancer
1250	-1.426	LINE	pancreas	Cancer
1251	1.359	CpG-Island	pancreas	Cancer
1252	1.161	Promoter	pancreas	Cancer
1253	1.115	5UTR	pancreas	Cancer
1254	1.576	Exon	pancreas	Cancer
1255	0.667	Intron	pancreas	Cancer
1256	0.677	TTS	pancreas	Cancer
1257	0.59	3UTR	pancreas	Cancer
1258	-0.746	Intergenic	pancreas	Cancer
1259	0.804	SINE	pancreas	Cancer
1260	-1.312	LINE	pancreas	Cancer
1261	1.168	CpG-Island	pancreas	Cancer
1262	1.322	Promoter	pancreas	Cancer
1263	0.94	5UTR	pancreas	Cancer
1264	1.695	Exon	pancreas	Cancer
1265	0.42	Intron	pancreas	Cancer
1266	0.992	TTS	pancreas	Cancer
1267	0.832	3UTR	pancreas	Cancer
1268	-0.93	Intergenic	pancreas	Cancer
1269	1.261	SINE	pancreas	Cancer
1270	-1.703	LINE	pancreas	Cancer
1271	1.084	CpG-Island	pancreas	Cancer
1272	1.411	Promoter	pancreas	Cancer
1273	1.184	5UTR	pancreas	Cancer
1274	1.839	Exon	pancreas	Cancer
1275	0.744	Intron	pancreas	Cancer
1276	0.955	TTS	pancreas	Cancer
1277	1.069	3UTR	pancreas	Cancer
1278	-0.984	Intergenic	pancreas	Cancer
1279	0.645	SINE	pancreas	Cancer
1280	-1.146	LINE	pancreas	Cancer
1281	-0.399	CpG-Island	pancreas	Cancer
1282	0.938	Promoter	pancreas	Cancer
1283	0.72	5UTR	pancreas	Cancer
1284	1.399	Exon	pancreas	Cancer
1285	0.491	Intron	pancreas	Cancer
1286	0.637	TTS	pancreas	Cancer
1287	0.74	3UTR	pancreas	Cancer
1288	-1.807	Intergenic	pancreas	Cancer
1289	1.537	SINE	pancreas	Cancer
1290	-1.441	LINE	pancreas	Cancer
1291	-0.313	CpG-Island	pancreas	Cancer
1292	0.809	Promoter	pancreas	Cancer
1293	0.588	5UTR	pancreas	Cancer
1294	1.349	Exon	pancreas	Cancer
1295	0.506	Intron	pancreas	Cancer
1296	0.518	TTS	pancreas	Cancer
1297	0.603	3UTR	pancreas	Cancer
1298	-1.747	Intergenic	pancreas	Cancer
1299	1.476	SINE	pancreas	Cancer
1300	-1.316	LINE	pancreas	Cancer
1301	1.37	CpG-Island	pancreas	Cancer
1302	1.421	Promoter	pancreas	Cancer
1303	1.225	5UTR	pancreas	Cancer
1304	2.057	Exon	pancreas	Cancer
1305	0.561	Intron	pancreas	Cancer
1306	1.506	TTS	pancreas	Cancer
1307	1.382	3UTR	pancreas	Cancer
1308	-1.367	Intergenic	pancreas	Cancer
1309	1.224	SINE	pancreas	Cancer
1310	-1.777	LINE	pancreas	Cancer
1311	1.955	CpG-Island	breast	Control
1312	1.814	Promoter	breast	Control
1313	1.28	5UTR	breast	Control
1314	2.205	Exon	breast	Control
1315	0.703	Intron	breast	Control
1316	1.544	TTS	breast	Control
1317	1.377	3UTR	breast	Control
1318	-0.928	Intergenic	breast	Control
1319	0.858	SINE	breast	Control
1320	-2.133	LINE	breast	Control
1321	1.891	CpG-Island	breast	Control
1322	1.872	Promoter	breast	Control
1323	1.306	5UTR	breast	Control
1324	2.298	Exon	breast	Control
1325	0.688	Intron	breast	Control
1326	1.592	TTS	breast	Control
1327	1.372	3UTR	breast	Control
1328	-0.918	Intergenic	breast	Control
1329	0.826	SINE	breast	Control
1330	-2.132	LINE	breast	Control
1331	2.036	CpG-Island	breast	Control
1332	1.853	Promoter	breast	Control
1333	1.288	5UTR	breast	Control
1334	2.345	Exon	breast	Control
1335	0.688	Intron	breast	Control
1336	1.56	TTS	breast	Control
1337	1.39	3UTR	breast	Control
1338	-1.011	Intergenic	breast	Control
1339	0.889	SINE	breast	Control
1340	-2.153	LINE	breast	Control
1341	1.94	CpG-Island	breast	Control
1342	1.934	Promoter	breast	Control
1343	1.292	5UTR	breast	Control
1344	2.424	Exon	breast	Control
1345	0.703	Intron	breast	Control
1346	1.565	TTS	breast	Control
1347	1.394	3UTR	breast	Control
1348	-0.629	Intergenic	breast	Control
1349	0.519	SINE	breast	Control
1350	-2.192	LINE	breast	Control
1351	1.432	CpG-Island	breast	Control
1352	1.644	Promoter	breast	Control
1353	1.143	5UTR	breast	Control
1354	2.07	Exon	breast	Control
1355	0.672	Intron	breast	Control
1356	1.491	TTS	breast	Control
1357	1.269	3UTR	breast	Control
1358	-0.996	Intergenic	breast	Control
1359	0.952	SINE	breast	Control
1360	-1.908	LINE	breast	Control
1361	1.611	CpG-Island	colon	Control
1362	1.531	Promoter	colon	Control
1363	1.113	5UTR	colon	Control
1364	2.274	Exon	colon	Control
1365	0.688	Intron	colon	Control
1366	1.578	TTS	colon	Control
1367	1.427	3UTR	colon	Control
1368	-1.261	Intergenic	colon	Control
1369	1.021	SINE	colon	Control
1370	-1.969	LINE	colon	Control
1371	1.325	CpG-Island	colon	Control
1372	1.527	Promoter	colon	Control
1373	1.079	5UTR	colon	Control
1374	2.011	Exon	colon	Control
1375	0.499	Intron	colon	Control
1376	1.307	TTS	colon	Control
1377	1.18	3UTR	colon	Control
1378	-1.231	Intergenic	colon	Control
1379	1.286	SINE	colon	Control
1380	-1.888	LINE	colon	Control
1381	1.35	CpG-Island	colon	Control
1382	1.751	Promoter	colon	Control
1383	1.159	5UTR	colon	Control
1384	1.846	Exon	colon	Control
1385	0.369	Intron	colon	Control
1386	1.264	TTS	colon	Control
1387	0.977	3UTR	colon	Control
1388	-1.536	Intergenic	colon	Control
1389	1.539	SINE	colon	Control
1390	-1.933	LINE	colon	Control
1391	1.437	CpG-Island	colon	Control
1392	1.724	Promoter	colon	Control
1393	1.203	5UTR	colon	Control
1394	1.883	Exon	colon	Control
1395	0.361	Intron	colon	Control
1396	1.322	TTS	colon	Control
1397	1.047	3UTR	colon	Control
1398	-1.446	Intergenic	colon	Control
1399	1.508	SINE	colon	Control
1400	-1.984	LINE	colon	Control
1401	1.735	CpG-Island	colon	Control
1402	1.477	Promoter	colon	Control
1403	1.263	5UTR	colon	Control
1404	2.258	Exon	colon	Control
1405	0.514	Intron	colon	Control
1406	1.524	TTS	colon	Control
1407	1.274	3UTR	colon	Control
1408	-1.469	Intergenic	colon	Control
1409	1.351	SINE	colon	Control
1410	-2.114	LINE	colon	Control
1411	1.524	CpG-Island	ovary	Control
1412	1.688	Promoter	ovary	Control
1413	1.199	5UTR	ovary	Control
1414	1.932	Exon	ovary	Control
1415	0.692	Intron	ovary	Control
1416	1.471	TTS	ovary	Control
1417	1.321	3UTR	ovary	Control
1418	-1.005	Intergenic	ovary	Control
1419	0.978	SINE	ovary	Control
1420	-1.958	LINE	ovary	Control
1421	0.959	CpG-Island	ovary	Control
1422	1.331	Promoter	ovary	Control
1423	0.993	5UTR	ovary	Control
1424	1.738	Exon	ovary	Control
1425	0.6	Intron	ovary	Control
1426	1.137	TTS	ovary	Control
1427	1.086	3UTR	ovary	Control
